"Оператор (филиал)";"Время начала действия базовой станции";"Время конца действия базовой станции";"Адрес расположения (неструктурированный)";"Идентификаторы сектора";"Параметры антенной системы";"Тип сети";"Координаты - широта";"Координаты - долгота";"Координаты - тип проекции";"Тип местности";"Ид.БС";"Ид.сектора";"LAC";"CELL (сектор)";"Телеф. ид. соты";"Азимут, гр.";"Ширина растра, гр.";"Угол наклона";"Мощность, Вт";"Частота излучения";"Высота подвеса, м";"Коэффициент усиления(Дб)";"Поляризация";"Тип расположения БС";"Ширина диаграммы по вертикали (в градусах)";"Поколение";"Номер контроллера БС";"Код БС (BCC + NCC)";"Тип БС соты";"Класс излучения";"Наименование БС";"Десятичный номер канала";"Нижняя частота";"Верхняя частота";"Уровень боковых лепестков";"CELL (WiFi/WiMax)";"MAC-адреса сектора"
"39";"2022-04-11 00:00:00";"2044-01-01 00:00:00";"Россия, обл. Ленинградская, р-н Всеволожский, г. Всеволожск,   промзона """"Кирпичный Завод"""", д.1";"0";"0";"0";"60.00254";"30.7975";"0";"";"";"";"17848";"51549463";"";"270";"66";"3";"6";"2100";"18";"18";"45";"1";"6";"2";"";"";"0";"";"BTS_78_1365_GULN";"";"";"";"";"";""
"39";"2022-04-09 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Подвойского,   0.02 км южнее дома 30 литера А, ОДН";"0";"0";"0";"59.91492";"30.48292";"0";"";"";"";"17851";"56288024";"";"150";"62";"2";"20";"2100";"26";"16";"45";"1";"7";"2";"";"";"0";"";"BTS_78_03778_LTN";"";"";"";"";"";""
"39";"2022-04-09 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Подвойского,   0.02 км южнее дома 30 литера А, ОДН";"0";"0";"0";"59.91492";"30.48292";"0";"";"";"";"17851";"56288000";"";"0";"61";"2";"13";"2600";"26";"17";"45";"1";"6";"2";"";"";"0";"";"BTS_78_03778_LTN";"";"";"";"";"";""
"39";"2022-04-08 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Коллонтай,   0.04 км западнее дома 43 литера З, ОДН";"0";"0";"0";"59.92406";"30.49683";"0";"";"";"";"17851";"56287513";"";"330";"62";"2";"13";"2100";"26";"16";"45";"1";"7";"2";"";"";"0";"";"BTS_78_03780_LTN";"";"";"";"";"";""
"39";"2022-04-08 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Коллонтай,   0.04 км западнее дома 43 литера З, ОДН";"0";"0";"0";"59.92406";"30.49683";"0";"";"";"";"17851";"56287510";"";"330";"61";"2";"6";"2600";"26";"17";"45";"1";"6";"2";"";"";"0";"";"BTS_78_03780_LTN";"";"";"";"";"";""
"39";"2022-04-08 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Железнодорожный, д. 20/стр. литер А";"0";"0";"0";"59.88229";"30.42736";"0";"";"";"";"17811";"51738902";"";"280";"58";"3";"6";"2600";"15";"17";"45";"1";"5";"2";"";"";"0";"";"BTS_78_2105_GULTN";"";"";"";"";"";""
"39";"2022-04-06 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Пилотов, д. 63,   столб металлический";"0";"0";"0";"59.82639";"30.28233";"0";"";"";"";"17855";"51836953";"";"340";"67";"10";"6";"2100";"29";"18";"45";"1";"6";"2";"";"";"0";"";"BTS_78_2488_DULN";"";"";"";"";"";""
"39";"2022-04-05 00:00:00";"2044-01-01 00:00:00";"Россия, обл. Ленинградская, р-н Кингисеппский, д Большие Валговицы,   0.06 км севернее дома 22а, ОДН";"0";"0";"0";"59.64511";"28.52356";"0";"";"";"";"324";"42366";"";"240";"63";"2";"20";"1800";"26";"16";"45";"1";"8";"0";"BSC_78_56";"46";"0";"";"BTS_78_04236_DLN";"742";"";"";"";"";""
"39";"2022-04-05 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Кубинская,   0.12 км южнее пересечения с Костюшко ул, столб";"0";"0";"0";"59.84722";"30.29206";"0";"";"";"";"17838";"52191512";"";"180";"65";"3";"13";"2100";"26";"17";"45";"1";"7";"2";"";"";"0";"";"BTS_78_03873_LTN";"";"";"";"";"";""
"39";"2022-04-05 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Кубинская,   0.12 км южнее пересечения с Костюшко ул, столб";"0";"0";"0";"59.84722";"30.29206";"0";"";"";"";"17838";"52191491";"";"60";"69";"3";"25";"1800";"26";"16";"45";"1";"8";"2";"";"";"0";"";"BTS_78_03873_LTN";"";"";"";"";"";""
